view_name	type	directory	schema
a_store_temp	parent	input	[id] int, [area] int, [channel] varchar COLLATE Latin1_General_100_BIN2_UTF8, [city] varchar COLLATE Latin1_General_100_BIN2_UTF8, [cluster] varchar COLLATE Latin1_General_100_BIN2_UTF8, [etl_new] BIT, [is_online] BIT, [region] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store_code] varchar COLLATE Latin1_General_100_BIN2_UTF8
a_style	parent	input	[id] int, [brand] varchar COLLATE Latin1_General_100_BIN2_UTF8, [cat] varchar COLLATE Latin1_General_100_BIN2_UTF8, [gender] varchar COLLATE Latin1_General_100_BIN2_UTF8, [subcat] varchar COLLATE Latin1_General_100_BIN2_UTF8, [master_category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [description] varchar COLLATE Latin1_General_100_BIN2_UTF8, [style_code] varchar COLLATE Latin1_General_100_BIN2_UTF8, [image_url] VARCHAR(4096) COLLATE Latin1_General_100_BIN2_UTF8, [brand_segment] varchar COLLATE Latin1_General_100_BIN2_UTF8
a_style_parent_map	parent	input	[style] int, [parent_style] int
a_style_season	parent	input	[id] int, [season] varchar COLLATE Latin1_General_100_BIN2_UTF8, [style] int
a_warehouse	parent	input	[id] int, [online] BIT, [warehouse] varchar COLLATE Latin1_General_100_BIN2_UTF8, [central] BIT, [reserve_stock_flag] BIT
a_warehouse_rel_41	parent	input	[id] int, [online] BIT, [warehouse] varchar COLLATE Latin1_General_100_BIN2_UTF8, [central] BIT, [doh] int, [reserve_stock_flag] BIT
a_warehouse_temp	parent	input	[id] int, [central] BIT, [doh] int, [online] BIT, [warehouse] varchar COLLATE Latin1_General_100_BIN2_UTF8
input_branch_priority	parent	input	[branch] varchar COLLATE Latin1_General_100_BIN2_UTF8, [priority_code] varchar COLLATE Latin1_General_100_BIN2_UTF8
input_cat_size_seq	parent	input	[id] int, [cat] varchar COLLATE Latin1_General_100_BIN2_UTF8, [sequences] varchar COLLATE Latin1_General_100_BIN2_UTF8
input_ow_decile_action	parent	input	[width] int, [decileA] float, [decileB] float, [decileC] float, [decileD] float
input_size_mapping	parent	input	[id] int, [client_size] varchar COLLATE Latin1_General_100_BIN2_UTF8, [size] varchar COLLATE Latin1_General_100_BIN2_UTF8
input_style_mrp	parent	input	[id] int, [mrp] float, [style] int
interim_cat_size_seq_rank	parent	input	[id] int, [cat] varchar COLLATE Latin1_General_100_BIN2_UTF8, [rank] int, [sequence] int, [size] varchar COLLATE Latin1_General_100_BIN2_UTF8
inv_creation_inwards	parent	input	[id] int, [day] date, [qty] int, [sku] int, [store] int
inv_creation_inwards_temp	parent	input	[id] int, [day] date, [qty] int, [sku] int, [store] int
a_ag_id	child	input	[ag] varchar COLLATE Latin1_General_100_BIN2_UTF8, [id] int
a_aop	child	input	[id] int, [period] int, [revenue] float, [store] int
a_brand_config	child	input	[id] int, [brand] varchar COLLATE Latin1_General_100_BIN2_UTF8, [enabled] BIT
a_category_config	child	input	[id] int, [category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [enabled] BIT
a_channel_style_exclusions	child	input	[id] int, [channel] varchar COLLATE Latin1_General_100_BIN2_UTF8, [style] int
a_channel_style_inclusions	child	input	[id] int, [channel] varchar COLLATE Latin1_General_100_BIN2_UTF8, [style] int
a_git_whstock_temp	child	input	[id] int, [day] date, [qty] int, [sku] int, [whId] int
a_input	child	input	[name] varchar COLLATE Latin1_General_100_BIN2_UTF8, [dataType] varchar COLLATE Latin1_General_100_BIN2_UTF8, [description] varchar COLLATE Latin1_General_100_BIN2_UTF8, [module] VARCHAR(4096) COLLATE Latin1_General_100_BIN2_UTF8, [value] VARCHAR(4096) COLLATE Latin1_General_100_BIN2_UTF8, [priority] int, [short_description] varchar COLLATE Latin1_General_100_BIN2_UTF8, [dropdown_list] VARCHAR(4096) COLLATE Latin1_General_100_BIN2_UTF8, [category] varchar COLLATE Latin1_General_100_BIN2_UTF8
a_new_store	child	input	[new_store] int, [reference_store] int
a_planogram	child	input	[id] int, [attribute] varchar COLLATE Latin1_General_100_BIN2_UTF8, [category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [options] int, [quantity] int, [repl_cycle_days] int, [store] int
a_size_set	child	input	[id] int, [category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [size_set] int, [store] int, [subcategory] varchar COLLATE Latin1_General_100_BIN2_UTF8
a_store_config	child	input	[store] int, [bi_enabled] BIT, [enabled] BIT
a_store_style_exclusions	child	input	[id] int, [store] int, [style] int
a_store_style_inclusions	child	input	[id] int, [store] int, [style] int
a_warehouse	child	input	[id] int, [online] BIT, [warehouse] varchar COLLATE Latin1_General_100_BIN2_UTF8, [central] BIT, [reserve_stock_flag] BIT
a_whstock	child	input	[id] int, [day] date, [qty] int, [sku] int, [whId] int
a_whstock_temp	child	input	[id] int, [day] date, [qty] int, [sku] int, [whId] int
dirty_input	child	input	[module] varchar COLLATE Latin1_General_100_BIN2_UTF8, [is_dirty] BIT
export_analysis_ist	child	output	[id] bigint, [brand] varchar COLLATE Latin1_General_100_BIN2_UTF8, [category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [channel] varchar COLLATE Latin1_General_100_BIN2_UTF8, [gender] varchar COLLATE Latin1_General_100_BIN2_UTF8, [implemented_inwards] int, [implemented_outwards] int, [inwards] int, [master_category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [outwards] int, [post_live_days] int, [post_ros] float, [post_sales_qty] int, [post_stock] int, [pre_live_days] int, [pre_ros] float, [pre_sales_qty] int, [pre_stock] int, [region] varchar COLLATE Latin1_General_100_BIN2_UTF8, [season] varchar COLLATE Latin1_General_100_BIN2_UTF8, [sku] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store_class] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store_cluster] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store_code] varchar COLLATE Latin1_General_100_BIN2_UTF8, [subcategory] varchar COLLATE Latin1_General_100_BIN2_UTF8
export_ap_output	child	output	[id] bigint, [ag] varchar COLLATE Latin1_General_100_BIN2_UTF8, [ap_options] int, [ap_stocks] int, [attribute1] varchar COLLATE Latin1_General_100_BIN2_UTF8, [attribute2] varchar COLLATE Latin1_General_100_BIN2_UTF8, [attribute3] varchar COLLATE Latin1_General_100_BIN2_UTF8, [attribute4] varchar COLLATE Latin1_General_100_BIN2_UTF8, [attribute5] varchar COLLATE Latin1_General_100_BIN2_UTF8, [brand] varchar COLLATE Latin1_General_100_BIN2_UTF8, [brand_segment] varchar COLLATE Latin1_General_100_BIN2_UTF8, [category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [channel] varchar COLLATE Latin1_General_100_BIN2_UTF8, [class] varchar COLLATE Latin1_General_100_BIN2_UTF8, [final_optimum_width] int, [gender] varchar COLLATE Latin1_General_100_BIN2_UTF8, [master_category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [period] int, [price_bucket] varchar COLLATE Latin1_General_100_BIN2_UTF8, [region] varchar COLLATE Latin1_General_100_BIN2_UTF8, [rev_contri] float, [size_ratio] varchar COLLATE Latin1_General_100_BIN2_UTF8, [size_sets] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store_cluster] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store_code] varchar COLLATE Latin1_General_100_BIN2_UTF8, [style_code] varchar COLLATE Latin1_General_100_BIN2_UTF8, [subcategory] varchar COLLATE Latin1_General_100_BIN2_UTF8, [theme] varchar COLLATE Latin1_General_100_BIN2_UTF8
export_ap_planogram_split_attr_level	child	output	[id] bigint, [attribute1] varchar COLLATE Latin1_General_100_BIN2_UTF8, [attribute2] varchar COLLATE Latin1_General_100_BIN2_UTF8, [brand] varchar COLLATE Latin1_General_100_BIN2_UTF8, [brand_segment] varchar COLLATE Latin1_General_100_BIN2_UTF8, [category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [channel] varchar COLLATE Latin1_General_100_BIN2_UTF8, [city] varchar COLLATE Latin1_General_100_BIN2_UTF8, [class] varchar COLLATE Latin1_General_100_BIN2_UTF8, [gender] varchar COLLATE Latin1_General_100_BIN2_UTF8, [master_category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [options] int, [price_bucket] varchar COLLATE Latin1_General_100_BIN2_UTF8, [region] varchar COLLATE Latin1_General_100_BIN2_UTF8, [stocks] int, [store] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store_cluster] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store_code] varchar COLLATE Latin1_General_100_BIN2_UTF8, [subcategory] varchar COLLATE Latin1_General_100_BIN2_UTF8, [theme] varchar COLLATE Latin1_General_100_BIN2_UTF8
export_ap_planogram_split_size_level	child	output	[id] bigint, [attribute1] varchar COLLATE Latin1_General_100_BIN2_UTF8, [attribute2] varchar COLLATE Latin1_General_100_BIN2_UTF8, [brand] varchar COLLATE Latin1_General_100_BIN2_UTF8, [brand_segment] varchar COLLATE Latin1_General_100_BIN2_UTF8, [category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [channel] varchar COLLATE Latin1_General_100_BIN2_UTF8, [city] varchar COLLATE Latin1_General_100_BIN2_UTF8, [class] varchar COLLATE Latin1_General_100_BIN2_UTF8, [gender] varchar COLLATE Latin1_General_100_BIN2_UTF8, [master_category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [pivotal_tag] varchar COLLATE Latin1_General_100_BIN2_UTF8, [price_bucket] varchar COLLATE Latin1_General_100_BIN2_UTF8, [region] varchar COLLATE Latin1_General_100_BIN2_UTF8, [size] varchar COLLATE Latin1_General_100_BIN2_UTF8, [stocks] float, [store] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store_cluster] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store_code] varchar COLLATE Latin1_General_100_BIN2_UTF8, [subcategory] varchar COLLATE Latin1_General_100_BIN2_UTF8, [theme] varchar COLLATE Latin1_General_100_BIN2_UTF8
export_depletion_cat_sales_qty	child	output	[id] bigint, [category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [channel] varchar COLLATE Latin1_General_100_BIN2_UTF8, [qty] int, [store] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store_code] varchar COLLATE Latin1_General_100_BIN2_UTF8
export_depletion_output	child	output	[id] bigint, [attribute1] varchar COLLATE Latin1_General_100_BIN2_UTF8, [attribute2] varchar COLLATE Latin1_General_100_BIN2_UTF8, [brand] varchar COLLATE Latin1_General_100_BIN2_UTF8, [category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [channel] varchar COLLATE Latin1_General_100_BIN2_UTF8, [closing_inventory] int, [closing_warehose_stock] int, [ean] varchar COLLATE Latin1_General_100_BIN2_UTF8, [end_date] date, [gender] varchar COLLATE Latin1_General_100_BIN2_UTF8, [master_category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [online_reservation_achieved] int, [online_reservation_required] int, [opening_inventory] int, [price_bucket] varchar COLLATE Latin1_General_100_BIN2_UTF8, [ros] float, [sales] int, [season] varchar COLLATE Latin1_General_100_BIN2_UTF8, [size] varchar COLLATE Latin1_General_100_BIN2_UTF8, [size_group] varchar COLLATE Latin1_General_100_BIN2_UTF8, [start_date] date, [store] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store_code] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store_inwards] int, [style_code] varchar COLLATE Latin1_General_100_BIN2_UTF8, [subcategory] varchar COLLATE Latin1_General_100_BIN2_UTF8, [warehouse_dispatch] int, [warehouse_inwards] int
export_discounting_output	child	output	[id] bigint, [actual_wh_stock] int, [age] int, [ageing_level] varchar COLLATE Latin1_General_100_BIN2_UTF8, [brand] varchar COLLATE Latin1_General_100_BIN2_UTF8, [brand_segment] varchar COLLATE Latin1_General_100_BIN2_UTF8, [category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [channel] varchar COLLATE Latin1_General_100_BIN2_UTF8, [current_discount] float, [day] date, [discount_recommendation] varchar COLLATE Latin1_General_100_BIN2_UTF8, [doh] int, [final_discount_action] varchar COLLATE Latin1_General_100_BIN2_UTF8, [gender] varchar COLLATE Latin1_General_100_BIN2_UTF8, [health_status] varchar COLLATE Latin1_General_100_BIN2_UTF8, [live_days] int, [master_category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [max_discount] float, [number_of_stores] int, [qty_sold] int, [raw_live_days] int, [raw_qty_sold] int, [raw_ros] float, [region] varchar COLLATE Latin1_General_100_BIN2_UTF8, [remarks] varchar COLLATE Latin1_General_100_BIN2_UTF8, [ros_level] varchar COLLATE Latin1_General_100_BIN2_UTF8, [seasonType] varchar COLLATE Latin1_General_100_BIN2_UTF8, [sell_through] float, [sell_through_level] varchar COLLATE Latin1_General_100_BIN2_UTF8, [sku_code] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store_class] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store_code] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store_group] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store_stock] int, [style_code] varchar COLLATE Latin1_General_100_BIN2_UTF8, [style_group] varchar COLLATE Latin1_General_100_BIN2_UTF8, [subcategory] varchar COLLATE Latin1_General_100_BIN2_UTF8, [suggested_discount_action] varchar COLLATE Latin1_General_100_BIN2_UTF8, [true_lifecycle] int, [true_ros] float, [wh_stock] int
export_dist_alloc_1x	child	output	[id] bigint, [alloc_store] int, [alloc_ttl] int, [alloc_wh] int, [allocation_type] varchar COLLATE Latin1_General_100_BIN2_UTF8, [brand] varchar COLLATE Latin1_General_100_BIN2_UTF8, [brand_segment] varchar COLLATE Latin1_General_100_BIN2_UTF8, [category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [channel] varchar COLLATE Latin1_General_100_BIN2_UTF8, [city] varchar COLLATE Latin1_General_100_BIN2_UTF8, [class] varchar COLLATE Latin1_General_100_BIN2_UTF8, [description] varchar COLLATE Latin1_General_100_BIN2_UTF8, [ean] varchar COLLATE Latin1_General_100_BIN2_UTF8, [gender] varchar COLLATE Latin1_General_100_BIN2_UTF8, [master_category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [outwards] int, [region] varchar COLLATE Latin1_General_100_BIN2_UTF8, [ros] float, [season] varchar COLLATE Latin1_General_100_BIN2_UTF8, [size] varchar COLLATE Latin1_General_100_BIN2_UTF8, [size_group] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store_cluster] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store_code] varchar COLLATE Latin1_General_100_BIN2_UTF8, [style_code] varchar COLLATE Latin1_General_100_BIN2_UTF8, [subcategory] varchar COLLATE Latin1_General_100_BIN2_UTF8
export_dist_alloc_output	child	output	[id] bigint, [alloc_ttl] int, [alloc_wh] int, [allocation_type] varchar COLLATE Latin1_General_100_BIN2_UTF8, [brand] varchar COLLATE Latin1_General_100_BIN2_UTF8, [brand_segment] varchar COLLATE Latin1_General_100_BIN2_UTF8, [category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [channel] varchar COLLATE Latin1_General_100_BIN2_UTF8, [city] varchar COLLATE Latin1_General_100_BIN2_UTF8, [class] varchar COLLATE Latin1_General_100_BIN2_UTF8, [description] varchar COLLATE Latin1_General_100_BIN2_UTF8, [ean] varchar COLLATE Latin1_General_100_BIN2_UTF8, [final_ros] float, [gender] varchar COLLATE Latin1_General_100_BIN2_UTF8, [goods_in_transit] int, [ist_in_transit] int, [iteration_flag] varchar COLLATE Latin1_General_100_BIN2_UTF8, [master_category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [open_orders] int, [outwards] int, [parent_style] varchar COLLATE Latin1_General_100_BIN2_UTF8, [period_one_ros] float, [period_one_sales] int, [period_three_ros] float, [period_three_sales] int, [period_two_ros] float, [period_two_sales] int, [post_psa] float, [pre_psa] float, [region] varchar COLLATE Latin1_General_100_BIN2_UTF8, [remarks] varchar COLLATE Latin1_General_100_BIN2_UTF8, [season] varchar COLLATE Latin1_General_100_BIN2_UTF8, [segment] varchar COLLATE Latin1_General_100_BIN2_UTF8, [size] varchar COLLATE Latin1_General_100_BIN2_UTF8, [size_group] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store_cluster] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store_code] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store_stock] int, [style_code] varchar COLLATE Latin1_General_100_BIN2_UTF8, [style_tag] varchar COLLATE Latin1_General_100_BIN2_UTF8, [subcategory] varchar COLLATE Latin1_General_100_BIN2_UTF8, [suggested_alloc] int
export_dist_fill_rate_output	child	output	[id] bigint, [attribute] varchar COLLATE Latin1_General_100_BIN2_UTF8, [brand] varchar COLLATE Latin1_General_100_BIN2_UTF8, [category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [channel] varchar COLLATE Latin1_General_100_BIN2_UTF8, [dispatch] int, [master_category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [planogram_options] int, [planogram_quantity] int, [post_healthy_options] int, [post_healthy_options_fill_rate] float, [post_healthy_quantity] int, [post_healthy_quantity_fill_rate] float, [post_options] int, [post_options_fill_rate] float, [post_quantity] int, [post_quantity_fill_rate] float, [pre_healthy_options] int, [pre_healthy_options_fill_rate] float, [pre_healthy_quantity] int, [pre_healthy_quantity_fill_rate] float, [pre_options] int, [pre_options_fill_rate] float, [pre_quantity] int, [pre_quantity_fill_rate] float, [region] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store_code] varchar COLLATE Latin1_General_100_BIN2_UTF8
export_dist_increment_planogram	child	output	[id] bigint, [attribute] varchar COLLATE Latin1_General_100_BIN2_UTF8, [category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [channel] varchar COLLATE Latin1_General_100_BIN2_UTF8, [city] varchar COLLATE Latin1_General_100_BIN2_UTF8, [class] varchar COLLATE Latin1_General_100_BIN2_UTF8, [final_planogram] int, [initial_planogram] int, [master_category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [region] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store_cluster] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store_code] varchar COLLATE Latin1_General_100_BIN2_UTF8
export_dist_overstocking	child	output	[id] bigint, [ars_dispatch] int, [brand] varchar COLLATE Latin1_General_100_BIN2_UTF8, [category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [channel] varchar COLLATE Latin1_General_100_BIN2_UTF8, [city] varchar COLLATE Latin1_General_100_BIN2_UTF8, [class] varchar COLLATE Latin1_General_100_BIN2_UTF8, [description] varchar COLLATE Latin1_General_100_BIN2_UTF8, [enabled] BIT, [git] int, [master_category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [open_orders] int, [overriden_season] varchar COLLATE Latin1_General_100_BIN2_UTF8, [season] varchar COLLATE Latin1_General_100_BIN2_UTF8, [size_set] int, [stock] int, [store] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store_code] varchar COLLATE Latin1_General_100_BIN2_UTF8, [style_code] varchar COLLATE Latin1_General_100_BIN2_UTF8, [subcategory] varchar COLLATE Latin1_General_100_BIN2_UTF8
export_dist_store_ag_output	child	output	[id] bigint, [ag] varchar COLLATE Latin1_General_100_BIN2_UTF8, [attribute1] varchar COLLATE Latin1_General_100_BIN2_UTF8, [attribute2] varchar COLLATE Latin1_General_100_BIN2_UTF8, [attribute3] varchar COLLATE Latin1_General_100_BIN2_UTF8, [attribute4] varchar COLLATE Latin1_General_100_BIN2_UTF8, [attribute5] varchar COLLATE Latin1_General_100_BIN2_UTF8, [brand] varchar COLLATE Latin1_General_100_BIN2_UTF8, [brand_segment] varchar COLLATE Latin1_General_100_BIN2_UTF8, [category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [channel] varchar COLLATE Latin1_General_100_BIN2_UTF8, [city] varchar COLLATE Latin1_General_100_BIN2_UTF8, [gender] varchar COLLATE Latin1_General_100_BIN2_UTF8, [ideal_options] int, [ideal_quantity] int, [master_category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [options_post] int, [options_pre] int, [post_healthy_options] int, [post_healthy_qty] int, [pre_healthy_options] int, [pre_healthy_qty] int, [quantity_post] int, [quantity_pre] int, [region] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store_code] varchar COLLATE Latin1_General_100_BIN2_UTF8, [subcategory] varchar COLLATE Latin1_General_100_BIN2_UTF8, [od_rev_contri] float
export_dist_wh_output	child	output	[id] bigint, [allocation_type] varchar COLLATE Latin1_General_100_BIN2_UTF8, [brand] varchar COLLATE Latin1_General_100_BIN2_UTF8, [brand_segment] varchar COLLATE Latin1_General_100_BIN2_UTF8, [category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [channel] varchar COLLATE Latin1_General_100_BIN2_UTF8, [city] varchar COLLATE Latin1_General_100_BIN2_UTF8, [class] varchar COLLATE Latin1_General_100_BIN2_UTF8, [destination] varchar COLLATE Latin1_General_100_BIN2_UTF8, [destination_code] varchar COLLATE Latin1_General_100_BIN2_UTF8, [ean] varchar COLLATE Latin1_General_100_BIN2_UTF8, [final_ros] float, [gender] varchar COLLATE Latin1_General_100_BIN2_UTF8, [master_category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [parent_style] varchar COLLATE Latin1_General_100_BIN2_UTF8, [period_one_ros] float, [period_three_ros] float, [period_two_ros] float, [quantity] int, [region] varchar COLLATE Latin1_General_100_BIN2_UTF8, [season] varchar COLLATE Latin1_General_100_BIN2_UTF8, [segment] varchar COLLATE Latin1_General_100_BIN2_UTF8, [size] varchar COLLATE Latin1_General_100_BIN2_UTF8, [size_group] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store_cluster] varchar COLLATE Latin1_General_100_BIN2_UTF8, [style_code] varchar COLLATE Latin1_General_100_BIN2_UTF8, [style_description] varchar COLLATE Latin1_General_100_BIN2_UTF8, [style_tag] varchar COLLATE Latin1_General_100_BIN2_UTF8, [subcategory] varchar COLLATE Latin1_General_100_BIN2_UTF8, [warehouse] varchar COLLATE Latin1_General_100_BIN2_UTF8
export_dist_wh_stock_output	child	output	[id] bigint, [brand] varchar COLLATE Latin1_General_100_BIN2_UTF8, [brand_segment] varchar COLLATE Latin1_General_100_BIN2_UTF8, [category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [dispatch] int, [ean] varchar COLLATE Latin1_General_100_BIN2_UTF8, [final_store_spread] int, [gender] varchar COLLATE Latin1_General_100_BIN2_UTF8, [initial_store_spread] int, [master_category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [parent_style] varchar COLLATE Latin1_General_100_BIN2_UTF8, [quantity] int, [remaining] int, [reserve_qty] int, [season] varchar COLLATE Latin1_General_100_BIN2_UTF8, [size] varchar COLLATE Latin1_General_100_BIN2_UTF8, [style_code] varchar COLLATE Latin1_General_100_BIN2_UTF8, [style_description] varchar COLLATE Latin1_General_100_BIN2_UTF8, [subcategory] varchar COLLATE Latin1_General_100_BIN2_UTF8, [warehouse] varchar COLLATE Latin1_General_100_BIN2_UTF8
export_gap_broken_non_broken_ros	child	output	[id] bigint, [brand] varchar COLLATE Latin1_General_100_BIN2_UTF8, [category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [channel] varchar COLLATE Latin1_General_100_BIN2_UTF8, [gender] varchar COLLATE Latin1_General_100_BIN2_UTF8, [loss] float, [master_category] varchar COLLATE Latin1_General_100_BIN2_UTF8, [region] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store] varchar COLLATE Latin1_General_100_BIN2_UTF8, [store_code] varchar COLLATE Latin1_General_100_BIN2_UTF8, [style_code] varchar COLLATE Latin1_General_100_BIN2_UTF8, [subcategory] varchar COLLATE Latin1_General_100_BIN2_UTF8, [total_broken_days] int, [total_broken_qty] int, [total_broken_ros] float, [total_healthy_days] int, [total_healthy_qty] int, [total_healthy_ros] float
